F_path,Category,Source_ID,Target_ID,Source_Sex,Source_Country,Target_Sex,Target_Country,ID,Sex,Country,UniqueID,Realornot
FinalDataset_16khz/Real/Argentina/arf_00295/arf_00295_01103018631.wav,Real,,,,,,,arf_00295,Female,Argentina,73932,1
FinalDataset_16khz/Real/Argentina/arf_00295/arf_00295_01212219131.wav,Real,,,,,,,arf_00295,Female,Argentina,55678,1
FinalDataset_16khz/Real/Argentina/arf_00295/arf_00295_01889037142.wav,Real,,,,,,,arf_00295,Female,Argentina,67831,1
FinalDataset_16khz/Real/Argentina/arf_00295/arf_00295_00686976093.wav,Real,,,,,,,arf_00295,Female,Argentina,71460,1
FinalDataset_16khz/Real/Argentina/arf_00295/arf_00295_01967306974.wav,Real,,,,,,,arf_00295,Female,Argentina,61757,1
FinalDataset_16khz/Real/Argentina/arf_00295/arf_00295_01259129668.wav,Real,,,,,,,arf_00295,Female,Argentina,54682,1
FinalDataset_16khz/Real/Argentina/arf_00295/arf_00295_01116911041.wav,Real,,,,,,,arf_00295,Female,Argentina,71614,1
FinalDataset_16khz/Real/Argentina/arf_00295/arf_00295_01054942221.wav,Real,,,,,,,arf_00295,Female,Argentina,63128,1
FinalDataset_16khz/Real/Argentina/arf_00295/arf_00295_01213143555.wav,Real,,,,,,,arf_00295,Female,Argentina,63687,1
FinalDataset_16khz/Real/Argentina/arf_00295/arf_00295_01094843396.wav,Real,,,,,,,arf_00295,Female,Argentina,55563,1
FinalDataset_16khz/Real/Argentina/arf_00295/arf_00295_00407775348.wav,Real,,,,,,,arf_00295,Female,Argentina,60996,1
FinalDataset_16khz/Real/Argentina/arf_00295/arf_00295_01574676768.wav,Real,,,,,,,arf_00295,Female,Argentina,66226,1
FinalDataset_16khz/Real/Argentina/arf_00295/arf_00295_01646633984.wav,Real,,,,,,,arf_00295,Female,Argentina,71040,1
FinalDataset_16khz/Real/Argentina/arf_00295/arf_00295_01048417138.wav,Real,,,,,,,arf_00295,Female,Argentina,73117,1
FinalDataset_16khz/Real/Argentina/arf_00295/arf_00295_00822570390.wav,Real,,,,,,,arf_00295,Female,Argentina,73816,1
FinalDataset_16khz/Real/Argentina/arf_00295/arf_00295_01441271330.wav,Real,,,,,,,arf_00295,Female,Argentina,62992,1
